1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z
14.649,13.655,12.502,13.613,12.515,13.046,15.766,13.439,12.673,14.488,14.655,12.964,12.765,13.028,14.17,14.12,11.666,13.431,12.371,14.155,14.407,11.978,11.785,14.601,11.409,11.479,13.189,12.667,10.956,14.743,11.262,12.01,15.385,12.593,12.108,12.263,11.299,10.371,13.034,10.393,11.914,13.099,11.977,13.208,11.418,12.846,11.298,11.527,12.818,14.079,10.892,10.843,13.292,11.189,14.243,13.641,10.906,12.637,14.992,10.414,14.359,12.593,10.613,14.797,14.331,10.219
14.575,13.604,12.296,13.592,12.573,13.057,15.576,13.17,12.307,14.57,14.539,12.911,12.692,13.097,14.241,14.336,12.018,13.587,12.574,14.161,14.716,11.697,11.953,14.418,11.572,11.328,13.082,12.091,11.254,15.124,10.779,12.355,14.878,12.705,12.061,12.263,11.759,10.27,13.17,10.614,11.467,12.589,11.966,13.255,11.583,13.063,11.404,11.476,12.76,13.903,10.744,10.881,13.365,11.588,14.285,13.719,10.995,12.407,14.702,10.112,14.468,12.773,10.44,14.888,14.442,10.431
14.627,13.727,12.352,13.841,12.735,13.23,15.67,13.561,12.623,14.27,14.65,12.707,12.762,13.013,14.228,14.379,11.787,13.431,12.31,14.11,14.519,12.13,11.686,14.527,11.292,11.504,13.175,12.85,10.869,14.587,11.443,11.629,15.383,12.277,12.077,12.192,11.126,10.491,12.956,10.414,12.211,13.204,11.93,13.283,11.392,12.708,11.283,11.662,12.902,13.922,10.793,10.851,13.441,11.222,14.345,13.595,10.987,12.7,14.777,10.072,14.424,12.539,10.573,15.023,14.193,10.462
14.641,13.741,12.361,13.771,12.771,13.23,15.694,13.58,12.519,14.476,14.753,12.719,12.79,13.036,14.221,14.299,11.846,13.374,12.386,14.07,14.641,12.04,11.722,14.518,11.334,11.466,13.138,12.709,10.854,14.741,11.184,11.738,15.179,12.361,12.122,12.201,11.153,10.383,12.809,10.463,12.076,13.225,11.91,13.281,11.376,12.871,11.448,11.495,12.868,13.875,10.687,10.848,13.497,11.274,14.315,13.569,11.022,12.654,14.762,10.172,14.338,12.513,10.684,14.941,14.131,10.373
14.577,13.765,12.363,13.507,12.728,12.984,15.389,13.103,11.976,15.117,14.163,13.199,12.903,12.922,14.354,13.918,11.643,13.031,12.899,13.896,15.035,11.814,11.755,14.517,11.265,11.667,13.13,12.254,10.825,14.922,11.104,12.117,15.248,12.112,12.782,12.405,11.386,10.745,12.57,10.178,11.826,13.19,12.342,12.476,10.943,11.628,13.82,12.562,13.163,13.289,10.354,11.93,11.58,10.461,13.835,14.372,11.309,13.52,13.208,9.296,13.047,15.109,11.64,14.479,14.939,10.671
14.6,13.691,12.383,13.624,12.682,13.099,15.686,13.448,12.631,14.375,14.686,12.773,12.757,13.047,14.31,14.294,11.897,13.482,12.492,14.124,14.803,11.937,11.797,14.522,11.43,11.457,13.114,12.64,10.982,14.741,11.126,11.836,15.187,12.563,12.148,12.208,11.289,10.39,13.003,10.483,11.929,12.829,11.895,13.203,11.298,12.808,11.346,11.451,12.844,13.899,10.623,10.771,13.258,11.299,14.276,13.604,11.034,12.592,14.619,9.874,14.505,12.665,10.642,14.825,14.369,10.374
14.577,13.648,12.451,13.784,12.552,13.13,15.651,13.471,12.555,14.4,14.637,12.855,12.842,13.048,14.186,14.436,11.733,13.421,12.521,14.174,14.438,11.854,11.927,14.517,11.457,11.376,13.114,12.277,11.118,15.113,10.947,12.325,14.944,12.464,12.046,12.167,11.552,10.282,13.102,10.44,11.508,12.858,11.863,13.175,11.384,12.959,11.297,11.502,12.797,13.983,10.907,10.864,13.334,11.164,14.258,13.724,11.099,12.489,14.878,10.468,14.465,12.78,10.566,14.75,14.661,10.637
14.622,13.806,12.46,13.844,12.74,13.142,15.702,13.651,12.602,14.257,14.854,12.72,12.846,13.008,14.177,14.429,11.867,13.307,12.366,14.043,14.551,12.096,11.693,14.467,11.242,11.624,13.216,12.826,10.868,14.415,11.575,11.683,15.487,12.331,12.068,12.244,10.885,10.635,13.129,10.452,12.333,13.271,11.886,13.187,11.303,12.668,11.202,11.747,12.872,13.889,10.752,10.82,13.419,11.294,14.313,13.596,11.081,12.59,14.837,10.253,14.601,12.494,10.846,14.901,14.301,10.45
14.651,13.679,12.391,13.793,12.627,13.168,15.71,13.448,12.575,14.534,14.673,12.802,12.787,13.031,14.178,14.436,11.827,13.54,12.388,14.14,14.388,11.949,11.74,14.542,11.413,11.523,13.17,12.498,10.923,14.959,11.176,11.903,15.263,12.45,12.063,12.202,11.133,10.458,12.964,10.509,12.122,13.032,11.89,13.199,11.407,13.012,11.324,11.619,12.83,14.03,10.915,10.879,13.368,11.288,14.266,13.622,11.032,12.558,14.938,10.472,14.568,12.674,10.601,14.91,14.468,10.552
14.502,13.783,12.264,13.597,12.631,13.097,15.568,13.688,12.605,14.267,14.682,12.873,12.699,13.061,14.33,14.402,12.086,13.538,12.618,14.091,14.956,11.753,11.845,14.511,11.437,11.475,13.064,12.299,11.067,15.042,10.836,12.066,15.162,12.661,12.093,12.252,11.293,10.356,12.864,10.527,11.965,12.763,11.98,13.161,11.366,12.983,11.216,11.624,12.825,13.82,10.62,10.927,13.178,11.258,14.345,13.691,10.934,12.567,14.749,10.114,14.584,12.769,10.494,14.905,14.439,10.327
14.472,13.727,12.373,13.644,12.572,13.053,15.502,13.665,12.847,14.161,14.677,12.663,12.742,13.02,14.282,14.405,11.85,13.477,12.59,14.177,14.623,11.753,11.808,14.586,11.54,11.329,13.14,12.332,11.011,15.189,10.922,12.243,15.205,12.534,12.13,12.26,11.752,10.246,12.975,10.52,11.537,12.842,11.986,13.287,11.403,12.808,11.352,11.436,12.814,13.957,10.659,10.935,13.193,11.32,14.341,13.645,11.013,12.531,14.796,10.129,14.337,12.632,10.496,15.079,14.254,10.488
